species,s1,s2,clonal_diff_1D,clonal_len_1D,clonal_diff_4D,clonal_len_4D,moved_1d,moved_4d
Akkermansia_muciniphila_55290,700116358,ERR912028,31,970258,8,262633,0,0
Akkermansia_muciniphila_55290,700116358,ERR912121,91,891128,22,240980,10,0
Akkermansia_muciniphila_55290,700116568,700173176,59,893610,18,241724,13,0
Akkermansia_muciniphila_55290,700116568,ERR911963,47,894122,12,242065,2,0
Akkermansia_muciniphila_55290,700116568,ERR911976,118,789097,55,213658,21,1
Akkermansia_muciniphila_55290,700116568,ERR911992,54,886541,18,240048,2,0
Akkermansia_muciniphila_55290,700116568,ERR912187,57,884549,15,239400,9,0
Akkermansia_muciniphila_55290,700116668,ERR911957,37,902357,14,244289,6,0
Akkermansia_muciniphila_55290,700116668,ERR911995,51,913120,8,247628,9,0
Akkermansia_muciniphila_55290,700116668,ERR912015,62,913026,15,247022,14,0
Akkermansia_muciniphila_55290,700116668,ERR912146,130,765929,37,207083,15,0
Akkermansia_muciniphila_55290,700117682,ERR912070,23,949818,9,257046,0,0
Akkermansia_muciniphila_55290,700117682,ERR912145,28,954779,7,258318,0,0
Akkermansia_muciniphila_55290,700164050,700164870,49,859502,16,228180,4,0
Akkermansia_muciniphila_55290,700164050,ERR912182,17,884302,8,234746,0,0
Akkermansia_muciniphila_55290,700164159,ERR912068,10,987732,16,267383,0,0
Akkermansia_muciniphila_55290,700164159,SRR413564,65,858285,14,232105,17,0
Akkermansia_muciniphila_55290,700164870,ERR912182,34,926477,17,250188,2,0
Akkermansia_muciniphila_55290,700165167,ERR912092,33,889470,7,240910,14,0
Akkermansia_muciniphila_55290,700171190,ERR912041,30,957836,7,259318,0,0
Akkermansia_muciniphila_55290,700171190,pluto3-11-0-0_,30,923725,9,249966,0,0
Akkermansia_muciniphila_55290,700173176,ERR911963,48,930347,8,252134,8,0
Akkermansia_muciniphila_55290,700173176,ERR911976,113,795701,36,215596,19,1
Akkermansia_muciniphila_55290,700173176,ERR911992,56,919360,15,249317,8,0
Akkermansia_muciniphila_55290,700173176,ERR912187,68,916242,15,248158,17,0
Akkermansia_muciniphila_55290,ERR911954,ERR912119,87,819539,24,221997,17,0
Akkermansia_muciniphila_55290,ERR911957,ERR911995,57,876279,20,237551,12,0
Akkermansia_muciniphila_55290,ERR911957,ERR912015,56,876595,25,237198,13,0
Akkermansia_muciniphila_55290,ERR911957,ERR912146,115,730188,30,197339,16,0
Akkermansia_muciniphila_55290,ERR911963,ERR911976,129,819587,50,222247,28,1
Akkermansia_muciniphila_55290,ERR911963,ERR911992,22,986833,10,267370,0,0
Akkermansia_muciniphila_55290,ERR911963,ERR912187,28,979325,6,265074,9,0
Akkermansia_muciniphila_55290,ERR911976,ERR911992,128,819545,62,222283,22,1
Akkermansia_muciniphila_55290,ERR911976,ERR912187,145,812487,58,220272,33,1
Akkermansia_muciniphila_55290,ERR911981,ERR912100,60,888887,19,240363,10,0
Akkermansia_muciniphila_55290,ERR911981,ERR912116,54,911879,14,246596,15,0
Akkermansia_muciniphila_55290,ERR911982,ERR912034,28,981262,8,265752,7,0
Akkermansia_muciniphila_55290,ERR911982,ERR912050,48,882276,14,238963,10,0
Akkermansia_muciniphila_55290,ERR911982,ERR912139,54,888812,20,240436,5,0
Akkermansia_muciniphila_55290,ERR911982,ERR912179,57,901575,21,244171,8,0
Akkermansia_muciniphila_55290,ERR911987,ERR912028,75,916651,22,247961,4,0
Akkermansia_muciniphila_55290,ERR911987,ERR912121,39,961474,9,260204,3,0
Akkermansia_muciniphila_55290,ERR911992,ERR912187,38,972572,10,263379,9,0
Akkermansia_muciniphila_55290,ERR911995,ERR912015,60,885900,18,240111,12,0
Akkermansia_muciniphila_55290,ERR911995,ERR912146,154,740844,45,200579,23,2
Akkermansia_muciniphila_55290,ERR912012,ERR912013,24,974366,11,263909,0,0
Akkermansia_muciniphila_55290,ERR912012,ERR912050,88,728806,32,197516,14,0
Akkermansia_muciniphila_55290,ERR912012,ERR912179,93,748474,31,202685,21,0
Akkermansia_muciniphila_55290,ERR912013,ERR912179,99,743818,29,201403,23,0
Akkermansia_muciniphila_55290,ERR912021,ERR912060,119,748904,24,202574,56,1
Akkermansia_muciniphila_55290,ERR912021,ERR912064,133,770683,36,208848,51,1
Akkermansia_muciniphila_55290,ERR912021,ERR912100,113,720179,19,195220,41,1
Akkermansia_muciniphila_55290,ERR912021,ERR912116,107,724339,11,196363,44,1
Akkermansia_muciniphila_55290,ERR912021,ERR912157,112,778344,26,211014,50,1
Akkermansia_muciniphila_55290,ERR912021,ERR912189,57,865896,23,234409,19,0
Akkermansia_muciniphila_55290,ERR912027,ERR912091,105,807522,23,218395,33,0
Akkermansia_muciniphila_55290,ERR912027,ERR912155,46,866057,15,234304,5,0
Akkermansia_muciniphila_55290,ERR912027,ERR912199,52,889383,20,240293,10,0
Akkermansia_muciniphila_55290,ERR912028,ERR912121,82,898426,25,243078,8,0
Akkermansia_muciniphila_55290,ERR912034,ERR912050,52,875760,8,237371,11,0
Akkermansia_muciniphila_55290,ERR912034,ERR912139,56,883263,16,239151,6,0
Akkermansia_muciniphila_55290,ERR912034,ERR912179,55,898515,16,243324,2,0
Akkermansia_muciniphila_55290,ERR912036,ERR912044,37,906004,8,245392,6,0
Akkermansia_muciniphila_55290,ERR912037,ERR912096,42,887892,6,241106,8,0
Akkermansia_muciniphila_55290,ERR912041,pluto3-11-0-0_,27,943666,7,255398,7,0
Akkermansia_muciniphila_55290,ERR912050,ERR912139,24,964672,7,261306,0,0
Akkermansia_muciniphila_55290,ERR912050,ERR912179,37,885720,13,240013,3,0
Akkermansia_muciniphila_55290,ERR912056,ERR912160,19,985414,5,266861,6,0
Akkermansia_muciniphila_55290,ERR912060,ERR912064,54,909258,18,245860,15,0
Akkermansia_muciniphila_55290,ERR912060,ERR912157,35,922769,12,249474,12,0
Akkermansia_muciniphila_55290,ERR912060,ERR912189,130,722191,29,195268,62,0
Akkermansia_muciniphila_55290,ERR912064,ERR912116,121,718877,34,194562,38,0
Akkermansia_muciniphila_55290,ERR912064,ERR912157,47,968981,17,262595,4,0
Akkermansia_muciniphila_55290,ERR912064,ERR912189,144,725599,29,196742,56,0
Akkermansia_muciniphila_55290,ERR912070,ERR912145,20,970917,2,263074,0,0
Akkermansia_muciniphila_55290,ERR912075,ERR912079,49,900242,17,244145,15,0
Akkermansia_muciniphila_55290,ERR912075,ERR912083,50,895883,16,243151,12,0
Akkermansia_muciniphila_55290,ERR912079,ERR912083,23,1013925,6,275075,2,0
Akkermansia_muciniphila_55290,ERR912091,ERR912117,93,794347,28,215415,28,0
Akkermansia_muciniphila_55290,ERR912091,ERR912139,105,718425,20,194903,31,0
Akkermansia_muciniphila_55290,ERR912091,ERR912155,81,777134,25,209911,20,0
Akkermansia_muciniphila_55290,ERR912091,ERR912179,119,720412,32,195524,38,0
Akkermansia_muciniphila_55290,ERR912091,ERR912199,84,789934,20,213058,23,0
Akkermansia_muciniphila_55290,ERR912100,ERR912116,44,935519,14,253398,6,0
Akkermansia_muciniphila_55290,ERR912100,ERR912189,151,718921,38,194756,44,0
Akkermansia_muciniphila_55290,ERR912116,ERR912157,113,723216,19,195995,38,0
Akkermansia_muciniphila_55290,ERR912116,ERR912189,138,735625,27,199482,44,0
Akkermansia_muciniphila_55290,ERR912117,ERR912155,110,693570,20,186966,38,0
Akkermansia_muciniphila_55290,ERR912117,ERR912199,120,700360,27,189017,43,0
Akkermansia_muciniphila_55290,ERR912120,ERR912125,66,871323,14,236168,11,0
Akkermansia_muciniphila_55290,ERR912120,ERR912128,66,874140,12,237052,12,0
Akkermansia_muciniphila_55290,ERR912120,mickey3-11-7-0_,36,954569,9,258531,11,0
Akkermansia_muciniphila_55290,ERR912125,ERR912128,49,929948,10,252006,7,0
Akkermansia_muciniphila_55290,ERR912125,mickey3-11-7-0_,41,895311,9,242484,0,0
Akkermansia_muciniphila_55290,ERR912128,mickey3-11-7-0_,44,898479,7,243460,0,0
Akkermansia_muciniphila_55290,ERR912139,ERR912179,40,895528,13,242296,0,0
Akkermansia_muciniphila_55290,ERR912147,ERR912175,38,919729,8,249268,2,0
Akkermansia_muciniphila_55290,ERR912155,ERR912199,41,926905,20,250963,10,0
Akkermansia_muciniphila_55290,ERR912157,ERR912189,129,756967,30,205199,50,0
Akkermansia_muciniphila_55290,SRR413564,ERR912068,58,855995,15,231448,17,0
Akkermansia_muciniphila_55290,700013600,700095647,17,967517,6,261740,0,0
Akkermansia_muciniphila_55290,700013600,700117682,18,965838,7,261225,0,0
Akkermansia_muciniphila_55290,700038072,700164159,7,980369,5,265073,0,0
Akkermansia_muciniphila_55290,700095647,700117682,13,964251,3,260740,0,0
Akkermansia_muciniphila_55290,700113762,700164050,1,889018,1,236175,0,0
Akkermansia_muciniphila_55290,ERR912018,ERR912033,28,996065,7,269714,0,0
Alistipes_finegoldii_56071,700024673,ERR912091,148,1035076,45,281348,41,0
Alistipes_finegoldii_56071,700033153,ERR912091,168,960360,51,259232,58,2
Alistipes_finegoldii_56071,700033502,700038761,161,930097,61,248875,38,0
Alistipes_finegoldii_56071,700033502,ERR912091,114,1000138,44,268749,35,1
Alistipes_finegoldii_56071,700035373,ERR912091,149,1038267,50,282260,34,1
Alistipes_finegoldii_56071,700037123,700103477,147,1034989,66,281048,23,0
Alistipes_finegoldii_56071,700038761,700097291,125,960355,47,258021,13,0
Alistipes_finegoldii_56071,700038761,700106646,139,952458,34,256057,34,2
Alistipes_finegoldii_56071,700038761,ERR912091,112,1049357,52,282132,13,1
Alistipes_finegoldii_56071,700097291,ERR912091,103,1050216,30,285711,24,1
Alistipes_finegoldii_56071,700102586,ERR912091,130,1052839,59,286733,43,1
Alistipes_finegoldii_56071,700106646,ERR912091,123,1034393,21,280934,42,1
Alistipes_finegoldii_56071,700161945,ERR912091,113,980195,28,264498,31,1
Alistipes_onderdonkii_55464,700015702,700024673,92,1023429,41,276425,38,0
Alistipes_onderdonkii_55464,700015702,700038414,99,954279,39,256967,28,0
Alistipes_onderdonkii_55464,700015702,700101840,93,933466,43,250567,23,0
Alistipes_onderdonkii_55464,700015702,700106056,106,905321,28,243338,39,0
Alistipes_onderdonkii_55464,700015702,700106876,90,974268,36,263056,26,0
Alistipes_onderdonkii_55464,700015702,700107398,87,998519,28,269897,29,0
Alistipes_onderdonkii_55464,700015702,SRR2822459,118,956404,37,258066,19,0
Alistipes_onderdonkii_55464,700021902,700023267,94,886348,31,237774,35,0
Alistipes_onderdonkii_55464,700021902,700023845,117,809383,45,214197,43,0
Alistipes_onderdonkii_55464,700021902,700024545,103,900852,26,241156,45,1
Alistipes_onderdonkii_55464,700021902,700024711,119,927661,29,250107,62,2
Alistipes_onderdonkii_55464,700021902,700033797,95,1004682,40,270143,28,2
Alistipes_onderdonkii_55464,700021902,700099059,48,1056184,23,284610,6,0
Alistipes_onderdonkii_55464,700021902,700103479,106,982108,35,264569,36,2
Alistipes_onderdonkii_55464,700021902,700113975,108,984066,42,265895,41,1
Alistipes_onderdonkii_55464,700021902,700116730,113,1001362,23,270255,39,2
Alistipes_onderdonkii_55464,700021902,700117938,96,954507,28,256025,31,1
Alistipes_onderdonkii_55464,700021902,700119739,129,984875,37,265802,57,2
Alistipes_onderdonkii_55464,700021902,700120753,98,967542,38,261093,27,0
Alistipes_onderdonkii_55464,700021902,700163772,110,949011,30,255392,51,1
Alistipes_onderdonkii_55464,700021902,ERR911992,118,958452,31,258553,59,1
Alistipes_onderdonkii_55464,700021902,ERR912076,97,1011224,42,272815,36,1
Alistipes_onderdonkii_55464,700021902,ERR912126,91,978454,28,264139,31,1
Alistipes_onderdonkii_55464,700023267,700023634,105,905500,20,242925,40,0
Alistipes_onderdonkii_55464,700023267,700023845,96,841177,27,222317,28,1
Alistipes_onderdonkii_55464,700023267,700024086,106,893917,22,239573,51,0
Alistipes_onderdonkii_55464,700023267,700024545,39,1019562,13,272448,13,0
Alistipes_onderdonkii_55464,700023267,700024711,61,1029422,12,276353,29,1
Alistipes_onderdonkii_55464,700023267,700033797,91,915814,24,245489,34,0
Alistipes_onderdonkii_55464,700023267,700037632,120,896807,26,238921,52,0
Alistipes_onderdonkii_55464,700023267,700038263,74,898007,21,238702,34,0
Alistipes_onderdonkii_55464,700023267,700103479,99,957817,14,256859,40,1
Alistipes_onderdonkii_55464,700023267,700111156,87,952122,18,255570,31,0
Alistipes_onderdonkii_55464,700023267,700111296,74,943475,18,253320,28,0
Alistipes_onderdonkii_55464,700023267,700113975,78,971669,29,261148,25,0
Alistipes_onderdonkii_55464,700023267,700116730,84,984491,21,264295,39,0
Alistipes_onderdonkii_55464,700023267,700117938,104,882190,25,235763,35,0
Alistipes_onderdonkii_55464,700023267,700119739,94,965996,21,259479,46,0
Alistipes_onderdonkii_55464,700023267,700120753,103,929441,21,249408,41,1
Alistipes_onderdonkii_55464,700023267,700164735,112,942347,40,252944,30,0
Alistipes_onderdonkii_55464,700023267,ERR911956,74,943947,14,253045,35,0
Alistipes_onderdonkii_55464,700023267,ERR911988,82,934132,26,250738,27,1
Alistipes_onderdonkii_55464,700023267,ERR911992,88,946047,23,253781,37,0
Alistipes_onderdonkii_55464,700023267,ERR912037,108,939582,27,252172,55,0
Alistipes_onderdonkii_55464,700023267,ERR912076,58,986222,15,264754,20,0
Alistipes_onderdonkii_55464,700023267,ERR912078,107,908327,32,243563,42,0
Alistipes_onderdonkii_55464,700023267,ERR912126,57,986088,16,264783,25,0
Alistipes_onderdonkii_55464,700023267,mickey4-11-0-0_,89,917191,26,245772,38,1
Alistipes_onderdonkii_55464,700023267,pluto3-11-7-0_,89,929977,24,249574,40,0
Alistipes_onderdonkii_55464,700023634,700023845,77,921222,23,244006,20,0
Alistipes_onderdonkii_55464,700023634,700023872,102,862661,19,232236,39,0
Alistipes_onderdonkii_55464,700023634,700024086,86,990442,18,266635,36,0
Alistipes_onderdonkii_55464,700023634,700024545,105,917066,22,245329,39,0
Alistipes_onderdonkii_55464,700023634,700024711,111,945417,20,254783,45,2
Alistipes_onderdonkii_55464,700023634,700033797,112,905639,23,243688,43,1
Alistipes_onderdonkii_55464,700023634,700037632,123,953665,33,254486,42,0
Alistipes_onderdonkii_55464,700023634,700038263,68,979900,28,260857,18,0
Alistipes_onderdonkii_55464,700023634,700103479,110,995671,20,268242,41,1
Alistipes_onderdonkii_55464,700023634,700111156,116,981935,22,264884,43,0
Alistipes_onderdonkii_55464,700023634,700111296,98,972560,18,262322,39,2
Alistipes_onderdonkii_55464,700023634,700113975,108,1001636,40,270325,32,0
Alistipes_onderdonkii_55464,700023634,700116730,97,1010729,23,272668,29,0
Alistipes_onderdonkii_55464,700023634,700119739,108,995404,23,268585,39,1
Alistipes_onderdonkii_55464,700023634,700120753,97,1060915,28,286287,32,1
Alistipes_onderdonkii_55464,700023634,700164735,133,985347,48,265749,40,0
Alistipes_onderdonkii_55464,700023634,700171115,90,1011962,32,273334,24,1
Alistipes_onderdonkii_55464,700023634,ERR911956,91,976979,26,263124,36,1
Alistipes_onderdonkii_55464,700023634,ERR911988,108,972723,24,262554,50,0
Alistipes_onderdonkii_55464,700023634,ERR911992,108,984989,21,265587,41,0
Alistipes_onderdonkii_55464,700023634,ERR912033,120,973093,29,262701,43,0
Alistipes_onderdonkii_55464,700023634,ERR912036,98,1014608,27,273829,39,0
Alistipes_onderdonkii_55464,700023634,ERR912037,114,969499,33,261352,28,0
Alistipes_onderdonkii_55464,700023634,ERR912061,126,949928,27,256498,45,0
Alistipes_onderdonkii_55464,700023634,ERR912076,90,1020987,26,275509,27,0
Alistipes_onderdonkii_55464,700023634,ERR912078,93,1028487,28,277172,28,0
Alistipes_onderdonkii_55464,700023634,ERR912126,83,983511,18,265474,26,1
Alistipes_onderdonkii_55464,700023634,ERR912128,114,961877,26,259596,40,0
Alistipes_onderdonkii_55464,700023634,ERR912159,122,950026,22,256235,46,1
Alistipes_onderdonkii_55464,700023634,ERR912188,98,971360,13,262422,28,0
Alistipes_onderdonkii_55464,700023634,mickey4-11-0-0_,113,954395,52,256849,45,0
Alistipes_onderdonkii_55464,700023634,pluto3-11-7-0_,114,946017,25,255065,46,0
Alistipes_onderdonkii_55464,700023845,700023872,79,809116,26,213961,12,0
Alistipes_onderdonkii_55464,700023845,700024086,63,928725,16,245828,16,0
Alistipes_onderdonkii_55464,700023845,700024545,92,853591,35,225320,19,0
Alistipes_onderdonkii_55464,700023845,700024711,105,855237,35,226399,39,1
Alistipes_onderdonkii_55464,700023845,700033797,102,824352,28,218298,37,2
Alistipes_onderdonkii_55464,700023845,700037632,110,886110,34,233816,22,0
Alistipes_onderdonkii_55464,700023845,700038263,45,962750,23,254291,8,0
Alistipes_onderdonkii_55464,700023845,700103479,93,888406,32,234864,23,0
Alistipes_onderdonkii_55464,700023845,700111156,114,876729,38,231863,33,0
Alistipes_onderdonkii_55464,700023845,700111296,115,857479,30,227010,40,0
Alistipes_onderdonkii_55464,700023845,700113975,101,884849,33,234414,26,0
Alistipes_onderdonkii_55464,700023845,700116730,87,898765,21,237906,24,0
Alistipes_onderdonkii_55464,700023845,700117938,122,810094,27,213968,50,3
Alistipes_onderdonkii_55464,700023845,700119739,104,882750,27,233661,33,0
Alistipes_onderdonkii_55464,700023845,700120753,75,939131,29,248798,5,0
Alistipes_onderdonkii_55464,700023845,700164735,111,869205,44,230028,21,0
Alistipes_onderdonkii_55464,700023845,700171115,72,898084,36,237896,4,1
Alistipes_onderdonkii_55464,700023845,ERR911956,92,871933,30,230522,24,0
Alistipes_onderdonkii_55464,700023845,ERR911972,98,833047,24,220336,23,0
Alistipes_onderdonkii_55464,700023845,ERR911988,106,868683,30,229858,31,0
Alistipes_onderdonkii_55464,700023845,ERR911992,102,879734,28,232644,27,0
Alistipes_onderdonkii_55464,700023845,ERR912033,115,861378,47,228049,42,0
Alistipes_onderdonkii_55464,700023845,ERR912036,85,910188,30,241093,20,0
Alistipes_onderdonkii_55464,700023845,ERR912037,104,853951,23,225954,33,0
Alistipes_onderdonkii_55464,700023845,ERR912061,104,877233,33,232380,23,0
Alistipes_onderdonkii_55464,700023845,ERR912076,75,903772,20,239252,15,0
Alistipes_onderdonkii_55464,700023845,ERR912078,83,942128,26,249248,23,0
Alistipes_onderdonkii_55464,700023845,ERR912126,81,888958,27,235372,17,0
Alistipes_onderdonkii_55464,700023845,ERR912128,106,860155,28,227754,19,0
Alistipes_onderdonkii_55464,700023845,ERR912159,113,836435,30,221467,38,1
Alistipes_onderdonkii_55464,700023845,ERR912188,85,886810,22,234952,13,0
Alistipes_onderdonkii_55464,700023845,mickey4-11-0-0_,96,851127,53,224777,30,0
Alistipes_onderdonkii_55464,700023845,pluto3-11-7-0_,101,847835,34,224486,28,0
Alistipes_onderdonkii_55464,700023872,700024086,108,848335,23,228062,35,0
Alistipes_onderdonkii_55464,700023872,700024545,112,791160,29,211151,27,0
Alistipes_onderdonkii_55464,700023872,700037632,114,828569,35,220740,37,0
Alistipes_onderdonkii_55464,700023872,700038263,80,865475,24,230034,32,0
Alistipes_onderdonkii_55464,700023872,700113975,115,845578,41,227680,35,0
Alistipes_onderdonkii_55464,700023872,700116730,118,859445,31,231456,45,0
Alistipes_onderdonkii_55464,700023872,700120753,98,892152,39,240343,31,0
Alistipes_onderdonkii_55464,700023872,700171115,119,854298,42,229740,21,0
Alistipes_onderdonkii_55464,700023872,ERR912036,111,878951,39,236723,31,0
Alistipes_onderdonkii_55464,700023872,ERR912076,95,859955,29,231297,26,0
Alistipes_onderdonkii_55464,700023872,ERR912078,107,866499,35,232917,35,0
Alistipes_onderdonkii_55464,700023872,ERR912126,105,829663,29,223297,24,0
Alistipes_onderdonkii_55464,700023872,ERR912188,107,883802,28,237941,31,0
Alistipes_onderdonkii_55464,700024086,700024545,111,911217,34,243758,42,0
Alistipes_onderdonkii_55464,700024086,700024711,105,923114,28,248542,46,1
Alistipes_onderdonkii_55464,700024086,700037632,108,925333,24,246801,37,0
Alistipes_onderdonkii_55464,700024086,700038263,51,985626,22,262333,10,0
Alistipes_onderdonkii_55464,700024086,700103479,113,950673,18,255494,48,1
Alistipes_onderdonkii_55464,700024086,700111156,108,952321,30,256286,38,0
Alistipes_onderdonkii_55464,700024086,700111296,111,928416,17,249806,48,1
Alistipes_onderdonkii_55464,700024086,700113975,111,962603,41,259269,38,0
Alistipes_onderdonkii_55464,700024086,700116730,87,977664,22,263107,29,0
Alistipes_onderdonkii_55464,700024086,700119739,104,954270,21,256847,50,0
Alistipes_onderdonkii_55464,700024086,700120753,79,1023454,25,275710,27,1
Alistipes_onderdonkii_55464,700024086,700171115,91,976578,36,262857,21,1
Alistipes_onderdonkii_55464,700024086,ERR911956,91,940408,24,252845,40,0
Alistipes_onderdonkii_55464,700024086,ERR911972,99,896105,25,240982,30,0
Alistipes_onderdonkii_55464,700024086,ERR911988,108,927573,22,249746,51,0
Alistipes_onderdonkii_55464,700024086,ERR911992,96,941668,25,253144,30,0
Alistipes_onderdonkii_55464,700024086,ERR912036,95,986700,26,265554,38,0
Alistipes_onderdonkii_55464,700024086,ERR912037,97,940195,30,252856,29,0
Alistipes_onderdonkii_55464,700024086,ERR912061,119,955371,28,257322,45,0
Alistipes_onderdonkii_55464,700024086,ERR912076,80,980350,22,263872,27,0
Alistipes_onderdonkii_55464,700024086,ERR912078,92,1021670,27,274668,37,0
Alistipes_onderdonkii_55464,700024086,ERR912126,91,960702,30,258618,35,0
Alistipes_onderdonkii_55464,700024086,ERR912128,121,934559,28,251557,38,0
Alistipes_onderdonkii_55464,700024086,ERR912159,103,900903,23,242476,38,1
Alistipes_onderdonkii_55464,700024086,ERR912188,86,953051,23,256886,26,0
Alistipes_onderdonkii_55464,700024545,700024711,49,1050479,16,281215,15,1
Alistipes_onderdonkii_55464,700024545,700033797,80,926304,21,247889,26,0
Alistipes_onderdonkii_55464,700024545,700037632,103,901075,25,239575,37,0
Alistipes_onderdonkii_55464,700024545,700038263,76,906106,27,240503,26,0
Alistipes_onderdonkii_55464,700024545,700099059,94,897187,24,240186,41,1
Alistipes_onderdonkii_55464,700024545,700103479,78,965930,15,258251,21,1
Alistipes_onderdonkii_55464,700024545,700111156,75,967319,27,258954,14,0
Alistipes_onderdonkii_55464,700024545,700111296,71,948708,16,253990,27,0
Alistipes_onderdonkii_55464,700024545,700113975,60,987659,27,264545,10,0
Alistipes_onderdonkii_55464,700024545,700116730,59,995368,13,266399,17,0
Alistipes_onderdonkii_55464,700024545,700117938,91,902791,20,240892,27,0
Alistipes_onderdonkii_55464,700024545,700119739,74,981515,20,262731,24,0
Alistipes_onderdonkii_55464,700024545,700120753,91,942141,30,252224,24,2
Alistipes_onderdonkii_55464,700024545,700163772,85,874373,33,233930,26,0
Alistipes_onderdonkii_55464,700024545,700164735,85,957965,34,256426,16,0
Alistipes_onderdonkii_55464,700024545,700171115,106,885682,36,237049,22,1
Alistipes_onderdonkii_55464,700024545,ERR911956,54,962116,15,257230,16,0
Alistipes_onderdonkii_55464,700024545,ERR911988,84,951375,37,254896,20,0
Alistipes_onderdonkii_55464,700024545,ERR911992,77,962321,23,257451,25,0
Alistipes_onderdonkii_55464,700024545,ERR912036,114,904615,41,242120,33,0
