accession	organism	strain	assembly_level	assembly_name	release_date	biosample	bioproject	checkm_completeness	checkm_contamination	num_contigs	total_length	tier	covered_bp	n_snps
GCF_934855955.1	Alistipes putredinis		Scaffold	MTG236_bin.2.fa	2022-07-30	SAMEA13566884	PRJEB50699	98.16	0.81	124	2395276	vhq	1883995	31570
GCF_934858995.1	Alistipes putredinis		Scaffold	MTG237_bin.6.fa	2022-07-30	SAMEA13566954	PRJEB50699	97.86	0.6	19	2281677	hq	1867485	31720
GCF_934859035.1	Alistipes putredinis		Scaffold	MTG234_bin.33.fa	2022-07-30	SAMEA13566775	PRJEB50699	97.86	0.6	25	2343486	hq	1861426	31848
GCF_934864425.1	Alistipes putredinis		Scaffold	MTG235_bin.8.fa	2022-07-30	SAMEA13566818	PRJEB50699	97.56	0.9	18	2284283	hq	1873685	31954
GCF_934871375.1	Alistipes putredinis		Scaffold	MTG238_bin.55.fa	2022-07-30	SAMEA13567048	PRJEB50699	96.97	0.6	23	2308933	hq	1847486	31538
GCF_934873145.1	Alistipes putredinis		Scaffold	MTG239_bin.31.fa	2022-07-30	SAMEA13567082	PRJEB50699	97.86	0.6	18	2333987	hq	1873509	31804
GCF_934875975.1	Alistipes putredinis		Scaffold	MTG246_bin.35.fa	2022-07-30	SAMEA13567460	PRJEB50699	97.86	0.3	23	2281225	hq	1870929	31715
GCF_934879485.1	Alistipes putredinis		Scaffold	MTG245_bin.15.fa	2022-07-30	SAMEA13567394	PRJEB50699	98.76	0.37	25	2397642	vhq	2087076	8195
GCF_934882315.1	Alistipes putredinis		Scaffold	MTG240_bin.25.fa	2022-07-30	SAMEA13567128	PRJEB50699	97.86	0.3	24	2209303	hq	1830523	31138
GCF_934882485.1	Alistipes putredinis		Scaffold	MTG242_bin.21.fa	2022-07-30	SAMEA13567228	PRJEB50699	98.46	0.37	33	2325009	vhq	2046637	8010
GCF_934882705.1	Alistipes putredinis		Scaffold	MTG247_bin.57.fa	2022-07-30	SAMEA13567541	PRJEB50699	97.86	0.6	74	2270591	hq	1863073	31859
GCF_934883215.1	Alistipes putredinis		Scaffold	MTG248_bin.22.fa	2022-07-30	SAMEA13567570	PRJEB50699	97.86	0.6	19	2199890	hq	1832717	31260
GCF_934883255.1	Alistipes putredinis		Scaffold	MTG241_bin.32.fa	2022-07-30	SAMEA13567183	PRJEB50699	95.77	0.37	30	2293599	hq	2010687	8754
GCF_963594925.1	Alistipes putredinis		Scaffold	E07154-L1_cleanbin_000007_GreatApes	2023-12-10	SAMEA114581610	PRJEB68160	98.46	2.24	48	2834368	hq	1926097	33888
GCF_977051985.1	Alistipes putredinis		Scaffold	AGN018FE.151	2025-11-13	SAMEA120501373	PRJEB102291	98.76	0.37	26	2176231	vhq	2053337	7854
