accession	organism	strain	assembly_level	assembly_name	release_date	biosample	bioproject	checkm_completeness	checkm_contamination	num_contigs	total_length	tier	covered_bp	n_snps
GCF_019128615.1	Phocaeicola vulgatus	MSK.19.35	Contig	ASM1912861v1	2021-07-05	SAMN19732016	PRJNA737800	99.65	0.35	185	5067834	hq	3967839	26469
GCF_019128655.1	Phocaeicola vulgatus	MSK.19.21	Contig	ASM1912865v1	2021-07-05	SAMN19732007	PRJNA737800	100	0.71	207	5244787	hq	3967645	26460
GCF_019128665.1	Phocaeicola vulgatus	MSK.19.32	Contig	ASM1912866v1	2021-07-05	SAMN19732015	PRJNA737800	100	0.71	207	5236778	hq	3971040	26480
GCF_019128745.1	Phocaeicola vulgatus	MSK.19.20	Contig	ASM1912874v1	2021-07-05	SAMN19732006	PRJNA737800	100	0.71	205	5245246	hq	3968266	26443
GCF_019128755.1	Phocaeicola vulgatus	MSK.19.19	Contig	ASM1912875v1	2021-07-05	SAMN19732005	PRJNA737800	100	0.71	199	5244703	hq	3974005	26365
GCF_019128815.1	Phocaeicola vulgatus	MSK.19.16	Contig	ASM1912881v1	2021-07-05	SAMN19732004	PRJNA737800	100	0.71	205	5244178	hq	3967873	26368
GCF_019129355.1	Phocaeicola vulgatus	MSK.17.73	Contig	ASM1912935v1	2021-07-05	SAMN19731965	PRJNA737800	100	0.12	181	5582650	vhq	3846415	28761
GCF_019129475.1	Phocaeicola vulgatus	MSK.17.55	Contig	ASM1912947v1	2021-07-05	SAMN19731959	PRJNA737800	99.94	0.35	192	5227618	hq	3883358	26124
GCF_019129485.1	Phocaeicola vulgatus	MSK.17.67	Contig	ASM1912948v1	2021-07-05	SAMN19731963	PRJNA737800	99.94	0.35	185	5223998	hq	3882180	26100
GCF_019129515.1	Phocaeicola vulgatus	MSK.17.93	Contig	ASM1912951v1	2021-07-05	SAMN19731970	PRJNA737800	99.94	0.35	182	5250142	hq	3883411	25945
GCF_019129535.1	Phocaeicola vulgatus	MSK.17.71	Contig	ASM1912953v1	2021-07-05	SAMN19731964	PRJNA737800	99.94	0.35	189	5245618	hq	3883043	25901
GCF_019129555.1	Phocaeicola vulgatus	MSK.17.56	Contig	ASM1912955v1	2021-07-05	SAMN19731960	PRJNA737800	99.94	0.35	191	5246504	hq	3881701	25991
GCF_019129575.1	Phocaeicola vulgatus	MSK.17.5	Contig	ASM1912957v1	2021-07-05	SAMN19731958	PRJNA737800	99.94	0.35	194	5245505	hq	3881545	25961
GCF_019129595.1	Phocaeicola vulgatus	MSK.17.91	Contig	ASM1912959v1	2021-07-05	SAMN19731968	PRJNA737800	99.94	0.35	195	5246774	hq	3883167	25997
GCF_019129605.1	Phocaeicola vulgatus	MSK.17.87	Contig	ASM1912960v1	2021-07-05	SAMN19731967	PRJNA737800	99.94	0.35	189	5245381	hq	3881417	25932
GCF_019129635.1	Phocaeicola vulgatus	MSK.17.65	Contig	ASM1912963v1	2021-07-05	SAMN19731962	PRJNA737800	99.94	0.35	190	5245881	hq	3881957	25930
GCF_019129675.1	Phocaeicola vulgatus	MSK.17.64	Contig	ASM1912967v1	2021-07-05	SAMN19731961	PRJNA737800	99.94	0.35	188	5133630	hq	3877102	25537
GCF_019129775.1	Phocaeicola vulgatus	MSK.17.92	Contig	ASM1912977v1	2021-07-05	SAMN19731969	PRJNA737800	99.94	0.35	182	5247716	hq	3883327	25979
GCF_019131875.1	Phocaeicola vulgatus	MSK.10.8	Contig	ASM1913187v1	2021-07-06	SAMN19731849	PRJNA737800	99.65	0.24	168	5135405	hq	4052094	29134
GCF_020091465.1	Phocaeicola vulgatus	BFG-191	Complete Genome	ASM2009146v1	2021-09-22	SAMN15547037	PRJNA646575	99.65		4	5293332	complete	3995972	25265
GCF_020538405.1	Phocaeicola vulgatus	MSK.23.26	Contig	ASM2053840v1	2021-10-20	SAMN22165269	PRJNA737800	100	0.38	255	4651133	hq	3773256	21931
GCF_020558905.1	Phocaeicola vulgatus	DFI.4.72	Contig	ASM2055890v1	2021-10-25	SAMN22167516	PRJNA737800	99.29	0.35	338	5257477	hq	3925217	31251
GCF_020559185.1	Phocaeicola vulgatus	DFI.4.20	Contig	ASM2055918v1	2021-10-25	SAMN22167508	PRJNA737800	99.29	0.18	234	5232022	hq	3910422	29596
GCF_020560185.1	Phocaeicola vulgatus	DFI.5.25	Contig	ASM2056018v1	2021-10-25	SAMN22167462	PRJNA737800	99.29	0.35	211	5568381	hq	4085386	18479
GCF_020560775.1	Phocaeicola vulgatus	DFI.3.65	Contig	ASM2056077v1	2021-10-25	SAMN22167435	PRJNA737800	100	0.35	193	5050766	hq	3812010	23595
GCF_020560835.1	Phocaeicola vulgatus	DFI.3.15	Contig	ASM2056083v1	2021-10-25	SAMN22167430	PRJNA737800	100	0.35	187	4834703	vhq	3774677	23819
GCF_020563555.1	Phocaeicola vulgatus	DFI.1.133	Contig	ASM2056355v1	2021-10-25	SAMN22167317	PRJNA737800	100	0.18	339	5372525	hq	3729350	25697
GCF_020827875.1	Phocaeicola vulgatus	FTJS7K1	Scaffold	ASM2082787v1	2021-11-10	SAMN15186852	PRJNA638319	100	0.35	127	4958487	hq	3736574	22956
GCF_020885715.1	Phocaeicola vulgatus	MG01-03	Complete Genome	ASM2088571v1	2021-10-30	SAMD00405043	PRJDB12114	99.65		3	5083185	complete	3725338	21886
GCF_020885775.1	Phocaeicola vulgatus	MG01-07	Complete Genome	ASM2088577v1	2021-10-30	SAMD00405044	PRJDB12114	99.65	0.18	5	5005662	complete	3730779	21759
GCF_020885855.1	Phocaeicola vulgatus	MG01-10	Complete Genome	ASM2088585v1	2021-10-30	SAMD00405045	PRJDB12114	99.65	0.18	5	4977532	complete	3727658	21605
GCF_021406445.1	Phocaeicola vulgatus	BJH_92	Contig	ASM2140644v1	2022-01-10	SAMN20148081	PRJNA745162	100	0.12	243	5549066	vhq	3847661	27478
GCF_021410085.1	Phocaeicola vulgatus	BJH_61	Contig	ASM2141008v1	2022-01-10	SAMN20148059	PRJNA745162	100	0.35	207	5177282	hq	3791395	22888
GCF_021410115.1	Phocaeicola vulgatus	BJH_57	Contig	ASM2141011v1	2022-01-10	SAMN20148055	PRJNA745162	100	0.83	174	5440386	vhq	3980138	35399
GCF_021410225.1	Phocaeicola vulgatus	BJH_52	Contig	ASM2141022v1	2022-01-10	SAMN20148051	PRJNA745162	99.65	0.12	123	4910408	vhq	4022519	17733
GCF_021410585.1	Phocaeicola vulgatus	BJH_35	Contig	ASM2141058v1	2022-01-10	SAMN20148036	PRJNA745162	100	0.47	231	5343295	hq	3971067	28472
GCF_021410705.1	Phocaeicola vulgatus	BJH_23	Contig	ASM2141070v1	2022-01-10	SAMN20148028	PRJNA745162	100	0.06	230	5114049	hq	3843435	19698
GCF_021411025.1	Phocaeicola vulgatus	BJH_206	Contig	ASM2141102v1	2022-01-10	SAMN20148170	PRJNA745162	100	0.65	126	4664344	vhq	3814156	27040
GCF_021412685.1	Phocaeicola vulgatus	BJH_137	Contig	ASM2141268v1	2022-01-10	SAMN20148113	PRJNA745162	100	0.35	162	5141285	vhq	3925905	19267
GCF_021531335.1	Phocaeicola vulgatus	An905	Contig	ASM2153133v1	2022-01-19	SAMN15872563	PRJNA658263	99.65	0.12	133	4790651	hq	3923123	27960
GCF_021891035.1	Phocaeicola vulgatus	Bv4410	Contig	ASM2189103v1	2022-02-02	SAMN25258009	PRJNA800592	100	0.71	136	4971922	hq	3894208	26593
GCF_021891045.1	Phocaeicola vulgatus	Bv4596	Contig	ASM2189104v1	2022-02-02	SAMN25258013	PRJNA800592	99.65	0.35	116	5403949	vhq	3835450	24686
GCF_021891195.1	Phocaeicola vulgatus	Bv4769	Contig	ASM2189119v1	2022-02-02	SAMN25258019	PRJNA800592	98.58	0.35	74	4783316	vhq	3683430	23316
GCF_021891215.1	Phocaeicola vulgatus	Bv4806	Contig	ASM2189121v1	2022-02-02	SAMN25258020	PRJNA800592	100	0.35	127	4993632	hq	3765884	26135
GCF_021891245.1	Phocaeicola vulgatus	Bv5	Contig	ASM2189124v1	2022-02-02	SAMN25258022	PRJNA800592	100	0.71	130	5219529	hq	4003502	23746
GCF_021891295.1	Phocaeicola vulgatus	Bv5203	Contig	ASM2189129v1	2022-02-02	SAMN25258024	PRJNA800592	100	1.77	81	4876568	vhq	3969857	19750
GCF_021891395.1	Phocaeicola vulgatus	Bv92	Contig	ASM2189139v1	2022-02-02	SAMN25258030	PRJNA800592	100	0.09	104	5111862	vhq	4005534	28654
GCF_022135705.1	Phocaeicola vulgatus	DFI.6.72	Contig		2022-02-09	SAMN24726041	PRJNA792599	100	0.13	307	5212735	hq	3862998	25498
GCF_022135865.1	Phocaeicola vulgatus	DFI.6.64	Contig		2022-02-09	SAMN24726036	PRJNA792599	100	0.96	289	5209822	hq	3862726	25482
GCF_022135985.1	Phocaeicola vulgatus	DFI.6.58	Contig		2022-02-09	SAMN24726033	PRJNA792599	100	0.12	283	5316648	hq	4030540	22640
GCF_023668145.1	Phocaeicola vulgatus	MB20-219	Contig	ASM2366814v1	2022-06-07	SAMN28703720	PRJNA843113	100	0.09	131	5128462	hq	4045501	29663
GCF_023668185.1	Phocaeicola vulgatus	MB20-231	Contig	ASM2366818v1	2022-06-07	SAMN28703722	PRJNA843113	100	0.09	136	5181607	hq	4046875	29649
GCF_023668565.1	Phocaeicola vulgatus	MB20-113	Contig	ASM2366856v1	2022-06-07	SAMN28703697	PRJNA843113	100	0.24	101	4851735	vhq	3913914	24979
GCF_023668585.1	Phocaeicola vulgatus	MB20-100	Contig	ASM2366858v1	2022-06-07	SAMN28703695	PRJNA843113	100	0.24	102	4851169	vhq	3915317	24985
GCF_023668665.1	Phocaeicola vulgatus	MB20-92	Contig	ASM2366866v1	2022-06-07	SAMN28703692	PRJNA843113	100	0.35	226	4861627	hq	3900949	24711
GCF_023668715.1	Phocaeicola vulgatus	MB20-90	Contig	ASM2366871v1	2022-06-07	SAMN28703691	PRJNA843113	100	0.12	179	4793567	hq	3903978	24892
GCF_023668875.1	Phocaeicola vulgatus	MB20-65	Contig	ASM2366887v1	2022-06-07	SAMN28703684	PRJNA843113	100	0.09	129	5138524	vhq	4046862	29633
GCF_023669045.1	Phocaeicola vulgatus	MB20-44	Contig	ASM2366904v1	2022-06-07	SAMN28703675	PRJNA843113	99.94	0.18	392	5041243	hq	4031364	29572
GCF_023669145.1	Phocaeicola vulgatus	MB20-31	Contig	ASM2366914v1	2022-06-07	SAMN28703669	PRJNA843113	100	0.09	130	5149350	hq	4048043	29682
GCF_023669285.1	Phocaeicola vulgatus	MB20-30	Contig	ASM2366928v1	2022-06-07	SAMN28703668	PRJNA843113	100	0.09	124	5138153	vhq	4048532	29656
GCF_023669385.1	Phocaeicola vulgatus	MB18-66	Contig	ASM2366938v1	2022-06-07	SAMN28703658	PRJNA843113	100	0.24	210	4743718	hq	3890205	24766
GCF_023669405.1	Phocaeicola vulgatus	MB18-64	Contig	ASM2366940v1	2022-06-07	SAMN28703657	PRJNA843113	100	0.12	236	4703984	hq	3903201	24810
GCF_023669435.1	Phocaeicola vulgatus	MB18-57	Contig	ASM2366943v1	2022-06-07	SAMN28703655	PRJNA843113	100	0.24	245	4743703	hq	3901530	24827
GCF_024022975.1	Phocaeicola vulgatus	CL10T00C06	Complete Genome	ASM2402297v1	2022-06-29	SAMN27738859	PRJNA830856	100		4	5129833	complete	3989732	27071
GCF_024047355.1	Phocaeicola vulgatus	CL05T12C02	Scaffold	ASM2404735v1	2022-06-29	SAMN07830888	PRJNA415639	100	0.01	188	5691485	hq	4043547	18761
GCF_024047375.1	Phocaeicola vulgatus	CL04T12C01	Scaffold	ASM2404737v1	2022-06-29	SAMN07830811	PRJNA415639	100	0.01	220	5110937	hq	4174489	15919
GCF_024461205.1	Phocaeicola vulgatus	DFI.9.71	Contig	ASM2446120v1	2022-07-27	SAMN28944591	PRJNA792599	99.65	1.13	477	5136394	hq	4014598	13837
GCF_024461385.1	Phocaeicola vulgatus	DFI.9.48	Contig	ASM2446138v1	2022-07-27	SAMN28944584	PRJNA792599	99.65	1.97	450	5111832	hq	3988731	13778
GCF_024463175.1	Phocaeicola vulgatus	DFI.4.135	Contig	ASM2446317v1	2022-07-27	SAMN28944497	PRJNA792599	99.29	0.18	244	5288390	vhq	3932844	30930
GCF_024464715.1	Phocaeicola vulgatus	DFI.1.132	Contig	ASM2446471v1	2022-07-27	SAMN28944459	PRJNA792599	100	0.61	597	5442548	hq	3726824	25552
GCF_024758205.1	Phocaeicola vulgatus	BFG-626	Complete Genome	ASM2475820v1	2022-08-29	SAMN30323499	PRJNA646575	97.1	0.12	1	4919717	complete	3895520	23305
GCF_024759565.1	Phocaeicola vulgatus	BFG-201	Complete Genome	ASM2475956v1	2022-08-29	SAMN30323224	PRJNA646575	100		2	5381150	complete	4044144	27097
GCF_024789245.1	Phocaeicola vulgatus	BFG-208	Contig	ASM2478924v1	2022-08-30	SAMN30323227	PRJNA646575	98.41	0.35	7	5425933	vhq	4033152	27327
GCF_024790525.1	Phocaeicola vulgatus	BFG-631	Contig	ASM2479052v1	2022-08-30	SAMN30323503	PRJNA646575	98.73	0.12	8	5639546	vhq	4116543	18843
GCF_024791385.1	Phocaeicola vulgatus	BFG-285	Contig	ASM2479138v1	2022-08-30	SAMN30323261	PRJNA646575	96.52	0.35	4	5419634	hq	3857831	21800
GCF_024792655.1	Phocaeicola vulgatus	BFG-289	Contig	ASM2479265v1	2022-08-30	SAMN30323263	PRJNA646575	95.54	0.24	2	5142176	hq	4003400	29161
GCF_027660715.1	Phocaeicola vulgatus	AM10-13A	Scaffold	ASM2766071v1	2023-01-11	SAMN31808634	PRJNA903559	100	0.35	86	4939003	vhq	3760277	25003
GCF_027671015.1	Phocaeicola vulgatus	AM27-3	Scaffold	ASM2767101v1	2023-01-11	SAMN31809109	PRJNA903559	100	0.35	81	4712494	vhq	3750536	24624
GCF_027683305.1	Phocaeicola vulgatus	AF36-15	Scaffold	ASM2768330v1	2023-01-12	SAMN31807941	PRJNA903559	100	0.35	214	5673653	hq	4049125	23698
GCF_027686305.1	Phocaeicola vulgatus	AF102-51	Scaffold	ASM2768630v1	2023-01-12	SAMN31807805	PRJNA903559	99.65	0.07	126	4942586	vhq	3761725	25201
GCF_027686505.1	Phocaeicola vulgatus	AF102-31	Scaffold	ASM2768650v1	2023-01-12	SAMN31807796	PRJNA903559	100	0.07	127	4831405	vhq	3756617	25215
GCF_027687565.1	Phocaeicola vulgatus	AF07-2	Scaffold	ASM2768756v1	2023-01-12	SAMN31807742	PRJNA903559	100	0.35	162	5057203	hq	3885521	26677
GCF_028199355.1	Phocaeicola vulgatus	G9_m1001262Bd2_200113	Scaffold	ASM2819935v1	2023-01-28	SAMN31321073	PRJNA880610	98.55	2.08	102	4726905	hq	4007501	18853
GCF_028199365.1	Phocaeicola vulgatus	H10_h1001262B_191106	Scaffold	ASM2819936v1	2023-01-28	SAMN31321065	PRJNA880610	97.07	2.86	143	5247903	hq	3758049	23634
GCF_028199395.1	Phocaeicola vulgatus	D4_m1001262Bd2_200113	Scaffold	ASM2819939v1	2023-01-28	SAMN31321072	PRJNA880610	97.89	1.52	88	4647805	hq	3928588	22755
GCF_028199435.1	Phocaeicola vulgatus	C9_m1001262Bd2_200113	Scaffold	ASM2819943v1	2023-01-28	SAMN31321071	PRJNA880610	97.89	1.52	106	4665828	hq	3925969	22951
